ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
316190,200609,774,41026.0
316200,200609,1412,78343.0
316210,200609,1164,47465.0
316220,200609,460,17753.0
316225,200609,593,35409.0
316230,200609,127,5519.0
316240,200609,2526,183881.0
316245,200609,1138,85726.0
316250,200609,4834,207709.0
316255,200609,837,59516.0
316257,200609,372,18237.0
316260,200609,1067,57749.0
316265,200609,421,28274.0
316270,200609,2631,152484.0
316280,200609,1831,115439.0
316290,200609,1369,64985.0
316292,200609,1605,107527.0
316294,200609,319,17266.0
316295,200609,717,43817.0
316300,200609,357,27388.0
316310,200609,306,15532.0
316320,200609,234,12823.0
316330,200609,454,26856.0
316340,200609,658,29868.0
316350,200609,652,47143.0
316360,200609,229,15170.0
316370,200609,1921,97644.0
316380,200609,680,45705.0
316390,200609,381,20399.0
316400,200609,839,46059.0
316410,200609,794,52908.0
316420,200609,862,63312.0
316430,200609,425,20315.0
316440,200609,140,6895.0
316443,200609,303,17801.0
316447,200609,479,26104.0
316450,200609,1413,103087.0
316460,200609,320,14874.0
316470,200609,1954,90249.0
316480,200609,139,8389.0
316490,200609,182,8833.0
316500,200609,728,35298.0
316510,200609,445,23515.0
316520,200609,434,19374.0
316530,200609,561,28758.0
316540,200609,378,19054.0
316550,200609,497,37112.0
316553,200609,844,38695.0
316555,200609,1089,85201.0
316556,200609,337,18912.0
316557,200609,390,23688.0
316560,200609,172,8980.0
316570,200609,731,41591.0
316580,200609,109,5872.0
316590,200609,674,48603.0
316600,200609,641,35256.0
316610,200609,403,22841.0
316620,200609,1182,74492.0
316630,200609,402,27456.0
316640,200609,140,7351.0
316650,200609,342,24666.0
316660,200609,52,2731.0
316670,200609,957,50933.0
316680,200609,719,43143.0
316690,200609,340,14804.0
316695,200609,543,35959.0
316700,200609,211,11157.0
316710,200609,1999,137780.0
316720,200609,7963,403099.0
316730,200609,194,10092.0
316740,200609,383,18131.0
316750,200609,154,6915.0
316760,200609,1570,92929.0
316770,200609,735,39515.0
316780,200609,414,20544.0
316790,200609,277,15334.0
316800,200609,3302,220036.0
316805,200609,356,20665.0
316810,200609,141,6309.0
316820,200609,186,8024.0
316830,200609,279,16474.0
316840,200609,1437,75039.0
316850,200609,1052,58418.0
316860,200609,12105,759081.0
316870,200609,3506,197402.0
316880,200609,375,18195.0
316890,200609,506,21861.0
316900,200609,1095,53774.0
316905,200609,181,8621.0
316910,200609,266,17367.0
316920,200609,777,42032.0
316930,200609,3470,188058.0
316935,200609,1869,98157.0
316940,200609,2547,153226.0
316950,200609,444,26428.0
316960,200609,2110,104621.0
316970,200609,1878,109398.0
316980,200609,307,15574.0
316990,200609,4727,207146.0
317000,200609,1349,99567.0
317005,200609,853,53275.0
317010,200609,8366,430754.0
317020,200609,18281,902876.0
317030,200609,305,16771.0
317040,200609,5307,286415.0
317043,200609,332,16129.0
317047,200609,507,33379.0
317050,200609,855,43575.0
317052,200609,1017,66107.0
317057,200609,849,54730.0
317060,200609,178,8176.0
317065,200609,618,46290.0
